course1,course2,risk,rr
amoxicillin5,cefprozil7,0.81 (0.62-0.97),0.76 (0.43-1.33)
amoxicillin5,cotrimoxazole10,0.81 (0.62-0.97),0.90 (0.66-1.21)
amoxicillin5,cefixime5,0.81 (0.62-0.97),0.42 (0.24-0.68)
amoxicillin5,amoxiclav13,0.81 (0.62-0.97),0.45 (0.31-0.64)
amoxicillin5,amoxicillin11,0.81 (0.62-0.97),0.84 (0.77-0.92)
amoxicillin5,clindamycin6,0.81 (0.62-0.97),0.43 (0.28-0.61)
amoxicillin5,ciprofloxacin14,0.81 (0.62-0.97),0.59 (0.44-0.78)
amoxicillin5,norfloxacin7,0.81 (0.62-0.97),1.32 (0.90-2.17)
amoxicillin5,cephalexin12,0.81 (0.62-0.97),0.61 (0.45-0.80)
amoxicillin5,cefuroxime10,0.81 (0.62-0.97),0.46 (0.29-0.75)
amoxicillin5,cefprozil8,0.81 (0.62-0.97),0.73 (0.40-1.31)
amoxicillin5,cotrimoxazole11,0.81 (0.62-0.97),0.88 (0.64-1.19)
amoxicillin5,cefixime6,0.81 (0.62-0.97),0.42 (0.23-0.67)
amoxicillin5,amoxiclav14,0.81 (0.62-0.97),0.43 (0.29-0.62)
amoxicillin5,amoxicillin12,0.81 (0.62-0.97),0.82 (0.75-0.91)
amoxicillin5,clindamycin7,0.81 (0.62-0.97),0.35 (0.22-0.53)
amoxicillin5,clarithromycin5,0.81 (0.62-0.97),1.16 (0.83-2.01)
amoxicillin5,norfloxacin8,0.81 (0.62-0.97),1.31 (0.88-2.20)
amoxicillin5,cephalexin13,0.81 (0.62-0.97),0.59 (0.43-0.77)
amoxicillin5,cefuroxime11,0.81 (0.62-0.97),0.43 (0.26-0.70)
amoxicillin5,cefprozil9,0.81 (0.62-0.97),0.70 (0.38-1.30)
amoxicillin5,cotrimoxazole12,0.81 (0.62-0.97),0.87 (0.63-1.18)
amoxicillin5,cefixime7,0.81 (0.62-0.97),0.34 (0.18-0.58)
amoxicillin5,azithromycin5,0.81 (0.62-0.97),0.74 (0.51-1.03)
amoxicillin5,amoxicillin13,0.81 (0.62-0.97),0.80 (0.72-0.90)
amoxicillin5,clindamycin8,0.81 (0.62-0.97),0.33 (0.20-0.50)
amoxicillin5,clarithromycin6,0.81 (0.62-0.97),1.14 (0.81-1.99)
amoxicillin5,norfloxacin9,0.81 (0.62-0.97),1.30 (0.87-2.23)
amoxicillin5,cephalexin14,0.81 (0.62-0.97),0.57 (0.41-0.74)
amoxicillin5,cefuroxime12,0.81 (0.62-0.97),0.40 (0.24-0.67)
amoxicillin5,cefprozil10,0.81 (0.62-0.97),0.68 (0.36-1.28)
amoxicillin5,cotrimoxazole13,0.81 (0.62-0.97),0.86 (0.62-1.17)
amoxicillin5,cefixime8,0.81 (0.62-0.97),0.30 (0.16-0.54)
amoxicillin5,azithromycin6,0.81 (0.62-0.97),0.74 (0.51-1.03)
amoxicillin5,amoxicillin14,0.81 (0.62-0.97),0.79 (0.70-0.89)
amoxicillin5,clindamycin9,0.81 (0.62-0.97),0.31 (0.19-0.48)
amoxicillin5,clarithromycin7,0.81 (0.62-0.97),1.09 (0.73-2.01)
amoxicillin5,norfloxacin10,0.81 (0.62-0.97),1.29 (0.85-2.25)
amoxicillin5,ciprofloxacin5,0.81 (0.62-0.97),0.83 (0.62-1.06)
amoxicillin5,cefuroxime13,0.81 (0.62-0.97),0.37 (0.22-0.63)
amoxicillin5,cefprozil11,0.81 (0.62-0.97),0.66 (0.34-1.27)
amoxicillin5,cotrimoxazole14,0.81 (0.62-0.97),0.85 (0.61-1.15)
amoxicillin5,cefixime9,0.81 (0.62-0.97),0.28 (0.14-0.51)
amoxicillin5,azithromycin7,0.81 (0.62-0.97),0.67 (0.44-0.96)
amoxicillin5,amoxiclav5,0.81 (0.62-0.97),0.67 (0.49-0.90)
amoxicillin5,clindamycin10,0.81 (0.62-0.97),0.29 (0.17-0.46)
amoxicillin5,clarithromycin8,0.81 (0.62-0.97),1.05 (0.68-2.01)
amoxicillin5,norfloxacin11,0.81 (0.62-0.97),1.29 (0.84-2.27)
amoxicillin5,ciprofloxacin6,0.81 (0.62-0.97),0.83 (0.62-1.05)
amoxicillin5,cefuroxime14,0.81 (0.62-0.97),0.35 (0.21-0.60)
amoxicillin5,cefprozil12,0.81 (0.62-0.97),0.64 (0.33-1.26)
amoxicillin5,levofloxacin5,0.81 (0.62-0.97),1.02 (0.77-1.44)
amoxicillin5,cefixime10,0.81 (0.62-0.97),0.26 (0.13-0.48)
amoxicillin5,azithromycin8,0.81 (0.62-0.97),0.64 (0.42-0.93)
amoxicillin5,amoxiclav6,0.81 (0.62-0.97),0.67 (0.48-0.89)
amoxicillin5,clindamycin11,0.81 (0.62-0.97),0.27 (0.16-0.44)
amoxicillin5,tetracycline14,0.81 (0.62-0.97),1.57 (1.17-2.58)
amoxicillin5,norfloxacin12,0.81 (0.62-0.97),1.28 (0.83-2.28)
amoxicillin5,levofloxacin7,0.81 (0.62-0.97),0.93 (0.67-1.34)
amoxicillin5,clindamycin14,0.81 (0.62-0.97),0.24 (0.14-0.39)
amoxicillin5,moxifloxacin8,0.81 (0.62-0.97),0.38 (0.28-0.50)
amoxicillin5,levofloxacin6,0.81 (0.62-0.97),1.00 (0.75-1.41)
amoxicillin5,clindamycin13,0.81 (0.62-0.97),0.25 (0.15-0.40)
amoxicillin5,trimethoprim6,0.81 (0.62-0.97),1.14 (0.55-1.94)
amoxicillin5,norfloxacin14,0.81 (0.62-0.97),1.27 (0.80-2.30)
amoxicillin5,clindamycin12,0.81 (0.62-0.97),0.26 (0.15-0.42)
amoxicillin5,trimethoprim5,0.81 (0.62-0.97),1.14 (0.54-1.94)
amoxicillin5,norfloxacin13,0.81 (0.62-0.97),1.27 (0.82-2.30)
amoxicillin5,levofloxacin8,0.81 (0.62-0.97),0.89 (0.63-1.31)
amoxicillin5,cloxacillin5,0.81 (0.62-0.97),0.84 (0.59-1.26)
amoxicillin5,moxifloxacin9,0.81 (0.62-0.97),0.35 (0.26-0.46)
amoxicillin5,tetracycline6,0.81 (0.62-0.97),1.52 (1.17-2.22)
amoxicillin5,levofloxacin11,0.81 (0.62-0.97),0.78 (0.55-1.19)
amoxicillin5,trimethoprim7,0.81 (0.62-0.97),1.11 (0.48-2.01)
amoxicillin5,tetracycline5,0.81 (0.62-0.97),1.51 (1.17-2.23)
amoxicillin5,levofloxacin10,0.81 (0.62-0.97),0.81 (0.58-1.23)
amoxicillin5,cloxacillin7,0.81 (0.62-0.97),0.75 (0.51-1.19)
amoxicillin5,moxifloxacin11,0.81 (0.62-0.97),0.30 (0.22-0.39)
amoxicillin5,levofloxacin9,0.81 (0.62-0.97),0.85 (0.60-1.26)
amoxicillin5,cloxacillin6,0.81 (0.62-0.97),0.83 (0.58-1.25)
amoxicillin5,moxifloxacin10,0.81 (0.62-0.97),0.32 (0.23-0.42)
amoxicillin5,tetracycline7,0.81 (0.62-0.97),1.53 (1.17-2.33)
amoxicillin5,levofloxacin12,0.81 (0.62-0.97),0.75 (0.52-1.17)
amoxicillin5,trimethoprim8,0.81 (0.62-0.97),1.10 (0.45-2.05)
amoxicillin5,moxifloxacin13,0.81 (0.62-0.97),0.26 (0.18-0.34)
amoxicillin5,tetracycline10,0.81 (0.62-0.97),1.55 (1.17-2.46)
amoxicillin5,cloxacillin8,0.81 (0.62-0.97),0.72 (0.47-1.16)
amoxicillin5,moxifloxacin12,0.81 (0.62-0.97),0.27 (0.20-0.37)
amoxicillin5,tetracycline9,0.81 (0.62-0.97),1.54 (1.17-2.42)
amoxicillin5,levofloxacin14,0.81 (0.62-0.97),0.70 (0.47-1.11)
amoxicillin5,trimethoprim10,0.81 (0.62-0.97),1.09 (0.42-2.11)
amoxicillin5,tetracycline8,0.81 (0.62-0.97),1.54 (1.17-2.37)
amoxicillin5,levofloxacin13,0.81 (0.62-0.97),0.72 (0.49-1.14)
amoxicillin5,trimethoprim9,0.81 (0.62-0.97),1.09 (0.44-2.08)
amoxicillin5,moxifloxacin14,0.81 (0.62-0.97),0.24 (0.17-0.32)
amoxicillin5,tetracycline11,0.81 (0.62-0.97),1.55 (1.17-2.50)
amoxicillin5,cloxacillin9,0.81 (0.62-0.97),0.69 (0.45-1.14)
amoxicillin5,trimethoprim12,0.81 (0.62-0.97),1.08 (0.40-2.15)
amoxicillin5,nitrofurantoin7,0.81 (0.62-0.97),1.43 (1.02-2.06)
amoxicillin5,moxifloxacin5,0.81 (0.62-0.97),0.53 (0.40-0.68)
amoxicillin5,trimethoprim11,0.81 (0.62-0.97),1.08 (0.41-2.14)
amoxicillin5,nitrofurantoin6,0.81 (0.62-0.97),1.43 (1.06-2.00)
amoxicillin5,tetracycline13,0.81 (0.62-0.97),1.57 (1.17-2.56)
amoxicillin5,cloxacillin11,0.81 (0.62-0.97),0.64 (0.41-1.11)
amoxicillin5,nitrofurantoin5,0.81 (0.62-0.97),1.44 (1.06-2.01)
amoxicillin5,tetracycline12,0.81 (0.62-0.97),1.56 (1.17-2.53)
amoxicillin5,cloxacillin10,0.81 (0.62-0.97),0.66 (0.43-1.13)
amoxicillin5,trimethoprim13,0.81 (0.62-0.97),1.08 (0.40-2.17)
amoxicillin5,nitrofurantoin8,0.81 (0.62-0.97),1.43 (1.01-2.09)
amoxicillin5,moxifloxacin6,0.81 (0.62-0.97),0.51 (0.38-0.66)
amoxicillin5,cloxacillin13,0.81 (0.62-0.97),0.60 (0.37-1.07)
amoxicillin5,moxifloxacin7,0.81 (0.62-0.97),0.42 (0.31-0.54)
amoxicillin5,cloxacillin12,0.81 (0.62-0.97),0.62 (0.39-1.09)
amoxicillin5,nitrofurantoin9,0.81 (0.62-0.97),1.42 (1.00-2.10)
amoxicillin5,trimethoprim14,0.81 (0.62-0.97),1.07 (0.39-2.18)
amoxicillin6,cotrimoxazole5,0.82 (0.63-0.98),1.02 (0.77-1.33)
amoxicillin6,nitrofurantoin10,0.82 (0.63-0.98),1.43 (1.01-2.12)
amoxicillin6,azithromycin9,0.82 (0.63-0.98),0.62 (0.40-0.91)
amoxicillin6,levofloxacin6,0.82 (0.63-0.98),1.01 (0.76-1.42)
amoxicillin6,cloxacillin14,0.82 (0.63-0.98),0.58 (0.36-1.06)
amoxicillin6,norfloxacin13,0.82 (0.63-0.98),1.28 (0.82-2.32)
amoxicillin6,nitrofurantoin11,0.82 (0.63-0.98),1.42 (1.00-2.12)
amoxicillin6,cotrimoxazole6,0.82 (0.63-0.98),1.02 (0.77-1.32)
amoxicillin6,norfloxacin12,0.82 (0.63-0.98),1.29 (0.83-2.30)
amoxicillin6,levofloxacin7,0.82 (0.63-0.98),0.93 (0.68-1.35)
amoxicillin6,nitrofurantoin14,0.82 (0.63-0.98),1.40 (0.97-2.15)
amoxicillin6,azithromycin10,0.82 (0.63-0.98),0.60 (0.38-0.89)
amoxicillin6,tetracycline5,0.82 (0.63-0.98),1.52 (1.18-2.24)
amoxicillin6,nitrofurantoin13,0.82 (0.63-0.98),1.41 (0.98-2.15)
amoxicillin6,cotrimoxazole8,0.82 (0.63-0.98),0.94 (0.70-1.26)
amoxicillin6,norfloxacin14,0.82 (0.63-0.98),1.27 (0.81-2.32)
amoxicillin6,nitrofurantoin12,0.82 (0.63-0.98),1.41 (0.98-2.13)
amoxicillin6,cotrimoxazole7,0.82 (0.63-0.98),0.96 (0.72-1.28)
amoxicillin6,azithromycin12,0.82 (0.63-0.98),0.56 (0.36-0.84)
amoxicillin6,levofloxacin8,0.82 (0.63-0.98),0.89 (0.64-1.32)
amoxicillin6,norfloxacin5,0.82 (0.63-0.98),1.35 (0.95-2.10)
amoxicillin6,azithromycin11,0.82 (0.63-0.98),0.58 (0.37-0.86)
amoxicillin6,tetracycline6,0.82 (0.63-0.98),1.53 (1.18-2.23)
amoxicillin6,levofloxacin11,0.82 (0.63-0.98),0.79 (0.55-1.21)
amoxicillin6,cotrimoxazole9,0.82 (0.63-0.98),0.92 (0.68-1.24)
amoxicillin6,azithromycin14,0.82 (0.63-0.98),0.53 (0.34-0.81)
amoxicillin6,levofloxacin10,0.82 (0.63-0.98),0.82 (0.58-1.23)
amoxicillin6,norfloxacin7,0.82 (0.63-0.98),1.33 (0.91-2.19)
amoxicillin6,azithromycin13,0.82 (0.63-0.98),0.54 (0.35-0.83)
amoxicillin6,levofloxacin9,0.82 (0.63-0.98),0.85 (0.61-1.27)
amoxicillin6,norfloxacin6,0.82 (0.63-0.98),1.34 (0.95-2.10)
amoxicillin6,cotrimoxazole11,0.82 (0.63-0.98),0.89 (0.65-1.20)
amoxicillin6,tetracycline7,0.82 (0.63-0.98),1.54 (1.18-2.34)
amoxicillin6,levofloxacin12,0.82 (0.63-0.98),0.76 (0.52-1.18)
amoxicillin6,cotrimoxazole10,0.82 (0.63-0.98),0.90 (0.66-1.22)
amoxicillin6,cefixime5,0.82 (0.63-0.98),0.43 (0.24-0.69)
amoxicillin6,tetracycline10,0.82 (0.63-0.98),1.56 (1.18-2.48)
amoxicillin6,norfloxacin8,0.82 (0.63-0.98),1.32 (0.89-2.23)
amoxicillin6,cotrimoxazole13,0.82 (0.63-0.98),0.86 (0.62-1.17)
amoxicillin6,tetracycline9,0.82 (0.63-0.98),1.55 (1.18-2.43)
amoxicillin6,levofloxacin14,0.82 (0.63-0.98),0.70 (0.47-1.12)
amoxicillin6,cotrimoxazole12,0.82 (0.63-0.98),0.88 (0.64-1.19)
amoxicillin6,tetracycline8,0.82 (0.63-0.98),1.55 (1.18-2.39)
amoxicillin6,levofloxacin13,0.82 (0.63-0.98),0.73 (0.50-1.15)
amoxicillin6,norfloxacin10,0.82 (0.63-0.98),1.30 (0.86-2.27)
amoxicillin6,cefixime6,0.82 (0.63-0.98),0.42 (0.24-0.68)
amoxicillin6,tetracycline11,0.82 (0.63-0.98),1.56 (1.18-2.52)
amoxicillin6,norfloxacin9,0.82 (0.63-0.98),1.31 (0.88-2.24)
amoxicillin6,cotrimoxazole14,0.82 (0.63-0.98),0.85 (0.61-1.16)
amoxicillin6,cefixime9,0.82 (0.63-0.98),0.28 (0.14-0.51)
amoxicillin6,moxifloxacin5,0.82 (0.63-0.98),0.53 (0.40-0.68)
amoxicillin6,amoxiclav5,0.82 (0.63-0.98),0.68 (0.49-0.91)
amoxicillin6,cefixime8,0.82 (0.63-0.98),0.31 (0.16-0.54)
amoxicillin6,tetracycline13,0.82 (0.63-0.98),1.58 (1.18-2.58)
amoxicillin6,norfloxacin11,0.82 (0.63-0.98),1.29 (0.84-2.28)
amoxicillin6,cefixime7,0.82 (0.63-0.98),0.34 (0.18-0.59)
amoxicillin6,tetracycline12,0.82 (0.63-0.98),1.57 (1.18-2.55)
amoxicillin6,moxifloxacin7,0.82 (0.63-0.98),0.42 (0.32-0.55)
amoxicillin6,levofloxacin5,0.82 (0.63-0.98),1.03 (0.77-1.44)
amoxicillin6,cefixime10,0.82 (0.63-0.98),0.26 (0.13-0.48)
amoxicillin6,moxifloxacin6,0.82 (0.63-0.98),0.52 (0.39-0.66)
amoxicillin6,amoxiclav6,0.82 (0.63-0.98),0.67 (0.49-0.90)
amoxicillin6,none,0.82 (0.63-0.98),1.44 (1.13-1.73)
amoxicillin6,tetracycline14,0.82 (0.63-0.98),1.58 (1.18-2.61)
amoxicillin6,clarithromycin9,0.82 (0.63-0.98),1.03 (0.65-2.02)
amoxicillin6,ciprofloxacin7,0.82 (0.63-0.98),0.76 (0.56-0.98)
amoxicillin6,cefixime12,0.82 (0.63-0.98),0.22 (0.11-0.44)
amoxicillin6,moxifloxacin8,0.82 (0.63-0.98),0.38 (0.29-0.50)
amoxicillin6,cefprozil13,0.82 (0.63-0.98),0.62 (0.32-1.25)
amoxicillin6,cefixime11,0.82 (0.63-0.98),0.24 (0.12-0.46)
amoxicillin6,trimethoprim6,0.82 (0.63-0.98),1.15 (0.54-1.95)
amoxicillin6,amoxiclav7,0.82 (0.63-0.98),0.59 (0.42-0.81)
amoxicillin6,amoxicillin5,0.82 (0.63-0.98),1.01 (1.00-1.02)
amoxicillin6,trimethoprim5,0.82 (0.63-0.98),1.15 (0.53-1.96)
amoxicillin6,clarithromycin10,0.82 (0.63-0.98),1.00 (0.61-2.04)
amoxicillin6,ciprofloxacin8,0.82 (0.63-0.98),0.73 (0.54-0.94)
amoxicillin6,cefixime13,0.82 (0.63-0.98),0.21 (0.10-0.41)
amoxicillin6,moxifloxacin9,0.82 (0.63-0.98),0.35 (0.26-0.46)
amoxicillin6,cefprozil14,0.82 (0.63-0.98),0.61 (0.31-1.23)
amoxicillin6,amoxicillin7,0.82 (0.63-0.98),0.94 (0.91-0.97)
amoxicillin6,trimethoprim7,0.82 (0.63-0.98),1.12 (0.47-2.03)
amoxicillin6,amoxiclav8,0.82 (0.63-0.98),0.56 (0.40-0.78)
amoxicillin6,amoxicillin6,0.82 (0.63-0.98),1.00 (1.00-1.00)
amoxicillin6,cefprozil5,0.82 (0.63-0.98),0.84 (0.50-1.38)
amoxicillin6,clarithromycin11,0.82 (0.63-0.98),0.97 (0.58-2.03)
amoxicillin6,ciprofloxacin9,0.82 (0.63-0.98),0.70 (0.52-0.91)
amoxicillin6,cefixime14,0.82 (0.63-0.98),0.19 (0.09-0.39)
amoxicillin6,moxifloxacin10,0.82 (0.63-0.98),0.32 (0.24-0.43)
amoxicillin6,cefuroxime5,0.82 (0.63-0.98),0.71 (0.50-1.05)
amoxicillin6,amoxicillin8,0.82 (0.63-0.98),0.91 (0.88-0.96)
amoxicillin6,trimethoprim8,0.82 (0.63-0.98),1.11 (0.45-2.07)
amoxicillin6,amoxiclav9,0.82 (0.63-0.98),0.53 (0.37-0.74)
amoxicillin6,ciprofloxacin11,0.82 (0.63-0.98),0.65 (0.48-0.85)
amoxicillin6,cefprozil6,0.82 (0.63-0.98),0.83 (0.50-1.37)
amoxicillin6,clarithromycin12,0.82 (0.63-0.98),0.95 (0.55-2.01)
amoxicillin6,ciprofloxacin10,0.82 (0.63-0.98),0.68 (0.50-0.88)
amoxicillin6,amoxicillin10,0.82 (0.63-0.98),0.87 (0.81-0.93)
amoxicillin6,moxifloxacin11,0.82 (0.63-0.98),0.30 (0.22-0.40)
amoxicillin6,cefuroxime6,0.82 (0.63-0.98),0.69 (0.48-1.02)
amoxicillin6,amoxicillin9,0.82 (0.63-0.98),0.89 (0.84-0.94)
amoxicillin6,trimethoprim9,0.82 (0.63-0.98),1.10 (0.44-2.10)
amoxicillin6,amoxiclav10,0.82 (0.63-0.98),0.51 (0.35-0.71)
amoxicillin6,ciprofloxacin12,0.82 (0.63-0.98),0.63 (0.46-0.82)
amoxicillin6,cefprozil7,0.82 (0.63-0.98),0.76 (0.43-1.34)
amoxicillin6,clarithromycin13,0.82 (0.63-0.98),0.92 (0.53-1.99)
amoxicillin6,cefuroxime8,0.82 (0.63-0.98),0.54 (0.35-0.85)
amoxicillin6,amoxicillin11,0.82 (0.63-0.98),0.85 (0.78-0.92)
amoxicillin6,moxifloxacin12,0.82 (0.63-0.98),0.28 (0.20-0.37)
amoxicillin6,cefuroxime7,0.82 (0.63-0.98),0.59 (0.39-0.90)
amoxicillin6,ciprofloxacin14,0.82 (0.63-0.98),0.60 (0.44-0.78)
amoxicillin6,trimethoprim10,0.82 (0.63-0.98),1.09 (0.42-2.13)
amoxicillin6,amoxiclav11,0.82 (0.63-0.98),0.49 (0.34-0.68)
amoxicillin6,ciprofloxacin13,0.82 (0.63-0.98),0.61 (0.45-0.80)
amoxicillin6,cefprozil8,0.82 (0.63-0.98),0.73 (0.40-1.33)
amoxicillin6,clarithromycin14,0.82 (0.63-0.98),0.90 (0.50-1.96)
amoxicillin6,cefuroxime9,0.82 (0.63-0.98),0.50 (0.32-0.80)
amoxicillin6,amoxicillin12,0.82 (0.63-0.98),0.83 (0.76-0.91)
amoxicillin6,moxifloxacin13,0.82 (0.63-0.98),0.26 (0.19-0.35)
amoxicillin6,amoxiclav13,0.82 (0.63-0.98),0.45 (0.31-0.64)
amoxicillin6,clarithromycin5,0.82 (0.63-0.98),1.17 (0.83-2.01)
amoxicillin6,trimethoprim11,0.82 (0.63-0.98),1.09 (0.41-2.14)
amoxicillin6,amoxiclav12,0.82 (0.63-0.98),0.47 (0.32-0.66)
amoxicillin6,cefuroxime11,0.82 (0.63-0.98),0.43 (0.27-0.71)
amoxicillin6,cefprozil9,0.82 (0.63-0.98),0.71 (0.38-1.31)
amoxicillin6,clindamycin5,0.82 (0.63-0.98),0.43 (0.28-0.62)
amoxicillin6,cefuroxime10,0.82 (0.63-0.98),0.46 (0.29-0.76)
amoxicillin6,amoxicillin13,0.82 (0.63-0.98),0.81 (0.73-0.90)
amoxicillin6,moxifloxacin14,0.82 (0.63-0.98),0.24 (0.17-0.32)
amoxicillin6,amoxiclav14,0.82 (0.63-0.98),0.43 (0.30-0.62)
amoxicillin6,clarithromycin6,0.82 (0.63-0.98),1.15 (0.82-1.99)
amoxicillin6,trimethoprim12,0.82 (0.63-0.98),1.08 (0.40-2.16)
amoxicillin6,clindamycin7,0.82 (0.63-0.98),0.36 (0.22-0.54)
amoxicillin6,cefuroxime12,0.82 (0.63-0.98),0.40 (0.24-0.67)
amoxicillin6,cefprozil10,0.82 (0.63-0.98),0.68 (0.36-1.29)
amoxicillin6,clindamycin6,0.82 (0.63-0.98),0.43 (0.28-0.61)
amoxicillin6,azithromycin6,0.82 (0.63-0.98),0.74 (0.51-1.04)
amoxicillin6,amoxicillin14,0.82 (0.63-0.98),0.79 (0.71-0.89)
amoxicillin6,nitrofurantoin5,0.82 (0.63-0.98),1.45 (1.06-2.02)
amoxicillin6,azithromycin5,0.82 (0.63-0.98),0.75 (0.52-1.04)
amoxicillin6,clarithromycin7,0.82 (0.63-0.98),1.09 (0.74-2.01)
amoxicillin6,trimethoprim13,0.82 (0.63-0.98),1.08 (0.40-2.17)
amoxicillin6,clindamycin8,0.82 (0.63-0.98),0.33 (0.20-0.51)
amoxicillin6,cefuroxime13,0.82 (0.63-0.98),0.37 (0.22-0.64)
